기준년도,노드id,노드위치,y좌표,x좌표,노드유형,노드명,위험운전행동회귀계수,교차로규모회귀계수,회귀확산도,교차로위험수준,교차로위험순위,교차로안전등급,교차로참조집단위험수준,권역교차로위험순위,20km이상과속카운트,40km이상과속카운트,60km이상과속카운트,장기과속카운트,급가속카운트,급출발카운트,급감속카운트,급정지카운트,급좌회전카운트,급우회전카운트,급유턴카운트,급앞지르기카운트,급진로변경카운트,공회전기준시간초과카운트,사고카운트
2018,1100039400,서울특별시 노원구,205199.3866,461741.4712,101,노블레스관광호텔,0.424729206,0.57107048,0.560021374,0.823139162,67345,C,1.176860838,207,88.3,0.9,0,0,236.6,19.6,97.1,27.4,113,87.8,18.8,44.8,254.9,30.1,2
2018,1070028700,서울특별시 성북구,205199.9531,456600.4088,101,국민은행석관,0.424729206,0.57107048,0.560021374,1.174788172,70467,C,1.825211828,151,26.6,0.6,0,0,1623.5,261.3,127.1,34.1,17,22.1,6.9,71.2,595.4,7.1,3
2018,1100024900,서울특별시 노원구,205230.1748,459408.9026,101,월계4치안센터,0.424729206,0.57107048,0.560021374,0.327485645,60968,C,0.672514355,201,0.3,0,0,0,211.4,34.8,10.5,6.3,68,16.1,11.3,1.3,0.7,1.2,1
2018,1100037500,서울특별시 노원구,205236.0537,461598.3281,101,현대증권빌딩,0.424729206,0.57107048,0.560021374,0.152910711,59256,C,1.847089289,221,80.8,7.8,0.9,0,625.6,52.5,78.2,17.4,79.6,59.6,7.3,269.1,585.8,122.6,2
2018,1100041700,서울특별시 노원구,205245.9191,462092.1471,101,도봉면허시험장,0.424729206,0.57107048,0.560021374,-1.157001414,7496,B,2.157001414,152,263.2,10.1,0.3,0,1070.6,134.3,191.6,19.1,34.9,29.1,9.3,137.6,452.3,100,1
2018,1070030200,서울특별시 성북구,205256.1241,456744.9354,101,석관초등학교,0.424729206,0.57107048,0.560021374,-0.241779337,31030,A,0.241779337,27,1.5,0.2,0.1,0,48.5,8,11.8,35.8,0.3,0.2,0.3,4.8,1.8,3.4,
2018,1070027200,서울특별시 성북구,205265.6112,456521.5069,101,은실어린이집,0.424729206,0.57107048,0.560021374,0.257396949,60244,C,1.742603051,145,34.4,0.9,0.1,0,1202.8,188.8,65.2,25,33.5,39.5,8,227.4,571.5,7.7,2
2018,1100019100,서울특별시 노원구,205270.0696,458707.611,101,한전노원변전소,0.424729206,0.57107048,0.560021374,-0.543528677,17870,A,0.543528677,46,0.2,0,0,0,206.4,9.6,64.4,3.8,8.4,20.3,2,2.9,9.7,1.8,
2018,1030006700,서울특별시 성동구,205275.4739,448681.6443,101,한양종합카쎈타,0.424729206,0.57107048,0.560021374,-0.512045206,18729,B,1.512045206,97,33.9,2.7,2.1,0,1640.8,338.4,241.3,74.6,15.1,20.3,2.3,51.8,61,5.7,1
2018,1100005400,서울특별시 노원구,205276.0821,459446.1961,101,도시월계아파트2단지,0.424729206,0.57107048,0.560021374,0.199794998,59683,C,1.800205002,224,7.5,4.5,1.7,0,1307.2,158.7,92.1,18.8,251.5,79.6,19.1,6.3,51.8,0.5,2
